title;artist;album;isrc
Fireworks;"Animal Collective";"Strawberry Jam";GBCEL0700351
Recycling;"Animal Collective";"Painting With";GBCEL1500473
"Summing the Wretch";"Animal Collective";"Painting With";GBCEL1500471
Vertical;"Animal Collective";"Painting With";GBCEL1500464
"The Protest";"Flying Lotus";"You're Dead!";GBBPW1400171
"The Boys Who Died in Their Sleep - Instrumental";"Flying Lotus, Captain Murphy";"You're Dead! (Deluxe)";GBBPW1400178
Sleep;"John Frusciante";Enclosure;QMQLH1400002
Scratches;"John Frusciante";"Inside of Emptiness";USRC20400074
Default;"Atoms For Peace";AMOK;GB4YG1200011
Ingenue;"Atoms For Peace";AMOK;GB4YG1200012
"Strange Solar System";"The Apples In Stereo";"Travellers in Space and Time";USY1R0963104
"Paris 1919";"John Cale";"Paris 1919";USWB10201206
"Trouble Every Day";"Frank Zappa, The Mothers Of Invention";"Freak Out!";USZPE1200012
Marilyn;"Mount Kimbie, Micachu";"Love What Survives";GBBPW1700087
"The Day The World Went Away";"Nine Inch Nails";"The Fragile";USIR19902582
Amok;"Atoms For Peace";AMOK;GB4YG1200018
"Mystery Machine (The Golden Age of Apocalypse)";Thundercat;"The Golden Age of Apocalypse";US25X1083031
"Don't Eat The Yellow Snow / Nanook Rubs It - Live: Garden City, New York";"Frank Zappa, The Mothers Of Invention";"New Years Eve 1973";CA5KR1952653
"Untitled [SAW2 CD1 Track1] (Four Tet Mix)";"Aphex Twin";"Warp10+3 Remixes";GBBPW9900125
"The Fool On The Hill - Remastered 2009";"The Beatles";"Magical Mystery Tour (Remastered)";GBAYE0601634
"Same River Twice";"Steve Hauschildt";Strands;USNCB1620302
"movin’ on static";"Cavern of Anti-Matter";"Blood Drums";GB5P51300011
"The Visitation";"White Noise";"An Electric Storm";GBAAN0300258
Flow;"Matt Stevens";Lucid;GBBLY1400322
333;Flea;"Helen Burns";TCABH1292233
Crimewave;"Crystal Castles";"Crystal Castles";GBRQQ0700001
Girl;"The Internet, KAYTRANADA";"Ego Death";USQX91500966
"TRACK UNO";KAYTRANADA;99.9%;GBBKS1600012
Kodokunohatsumei;toe;"The Book About My Idle Plot On A Vague Anxiety";JPZ921205333
Morse;"Nightmares On Wax";"Carboot Soul";GBBPW9900022
Soup;Jameszoo;Fool;US25X1089207
"Bog's Basil & Curry Powder Potatos Recipe";"Bogdan Raczynski";"Ulver 1993-2003: 1st Decade In The Machines";NOFVJ0325006
"Barok Main";"Mica Levi, Oliver Coates";"Remain Calm";GB5P51600165
"The Daily Mail";Radiohead;"The Daily Mail / Staircase";GBU4B1100021
"Telefone 529";Musicology;"Artificial Intelligence";GBBPW9200031
"Part I";"Janko Novoselic";Fantazija;HRA401500016
"Cosmic Highway";"The Les Claypool Frog Brigade";"Purple Onion";USPS20300512
"Jam Man";"Chet Atkins";"Chet Picks On The Grammys";USSM19502115
"Splash Screen";"Non, Herrmutt Lobby";Hunter;JPZ920902607
Breakthrough;"Modest Mouse";"This Is a Long Drive for Someone with Nothing to Think About";USFP71444502
Saje;"Jon Stickley Trio";"Jon Stickley Trio";QMR7F1200006
"Welcome To The Machine - 2011 Remastered Version";"Pink Floyd";"Wish You Were Here [2011 - Remaster] (2011 Remastered Version)";GBN9Y1100086
"Where's The Money?";"French, Kaiser, Frith, Thompson, John French, Henry Kaiser, Richard Thompson, Fred Frith";"Live, Love, Larf and Loaf";US75M0700753
"Where's the Money?";Foxygen;"No Destruction b/w Where's The Money?";US38Y1324102
"St. Alfonzo's Pancake Breakfast";"Frank Zappa";Apostrophe(');USZPE1200167
Circus;"Tom Waits, Ken Nordine, Kathleen Brennan";Circus;GBKPL1938961
"Gavota (feat. Los Macorinos) - Versión Instrumental";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700377
"Humanidad (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700902
"Desdeñosa (En Mano de Los Macorinos) (feat. Los Macorinos, Omara Portuondo & Eugenia León)";"Natalia Lafourcade, Los Macorinos, Omara Portuondo, Eugenia Leon";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700903
"Te Sigo (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700900
"La Llorona (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700904
"Eclipse (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700899
"Derecho de Nacimiento (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700907
"Luz de Luna (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700901
"Duerme Negrito (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700908
"Tus Ojitos (Vals de la Guardia Vieja) (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700898
"Hoy Mi Día Uno (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700906
"Alma Mía (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700897
"Danza de Gardenias (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2";MXF011700862
"Vals Poético (feat. Los Macorinos) - Instrumental";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600409
"Tonada de Luna Llena (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600405
"Tú Me Acostumbraste (feat. Omara Portuondo & Los Macorinos)";"Natalia Lafourcade, Omara Portuondo, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600358
"Soy lo Prohibido (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600354
"Son Amores (That's Amore) (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600356
"Mi Tierra Veracruzana (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600411
"Te Vi Pasar (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600361
"Rocío de Todos los Campos (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600412
"Qué He Sacado Con Quererte (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600353
"Soledad y el Mar (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600417
"Mexicana Hermosa (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600416
"Tú Sí Sabes Quererme (feat. Los Macorinos)";"Natalia Lafourcade, Los Macorinos";"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)";MXF011600414
If;Chon;Chon;USFYZ1912008
"Seven Sisters";Cosmonauts;"Star 69";USA2B1900442
"Alligator Wine - Studio Outtake - 1993";"Jeff Buckley";"Grace (Legacy Edition)";USSM10408724
"Her And I (Slow Jam 2)";"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401131
"Satan Speeds Up";"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401130
"Slow Jam 1";"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401129
"Am I In Heaven?";"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401128
"Hot Water";"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401127
Empty;"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401126
Cellophane;"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401124
"I'm In Your Mind Fuzz";"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401125
"I'm Not In Your Mind";"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401123
"I'm In Your Mind";"King Gizzard & The Lizard Wizard";"I'm In Your Mind Fuzz";AUDJ01401122
"Milky Way";"Neil Young, Crazy Horse";"Milky Way";USRE11900343
"Cardigan Song";"Kikagaku Moyo";"House in the Tall Grass";uscgj1636433
"Charlotte’s Mouth";Seefeel;Quique;GBBNZ9300054
"Kites III";"Brian Eno";"Music For Installations";GB2DY1700329
"Kites II";"Brian Eno";"Music For Installations";GB2DY1700328
"I Dormienti";"Brian Eno";"Music For Installations";GB2DY1700332
"Kites I";"Brian Eno";"Music For Installations";GB2DY1700327
"Chamber Lightness";"Brian Eno";"Music For Installations";GB2DY1700350
"Atmospheric Lightness";"Brian Eno";"Music For Installations";GB2DY1700349
"77 Million Paintings";"Brian Eno";"Music For Installations";GB2DY1700348
"Five Light Paintings";"Brian Eno";"Music For Installations";GB2DY1700322
"Flower Bells";"Brian Eno";"Music For Installations";GB2DY1700323
"The Ritan Bells";"Brian Eno";"Music For Installations";GB2DY1700330
Kazakhstan;"Brian Eno";"Music For Installations";GB2DY1700326
"Murder Of The Universe";"King Gizzard & The Lizard Wizard";"Murder Of The Universe";AUTZK1700033
"Vomit Coffin";"King Gizzard & The Lizard Wizard";"Murder Of The Universe";AUTZK1700032
"Digital Black";"King Gizzard & The Lizard Wizard";"Murder Of The Universe";AUTZK1700029
"Pop In My Step";"King Gizzard & The Lizard Wizard";"Float Along - Fill Your Lungs";AUDJ01300992
"Altered Beast I";"King Gizzard & The Lizard Wizard";"Murder Of The Universe";AUTZK1700014
"Alter Me I";"King Gizzard & The Lizard Wizard";"Murder Of The Universe";AUTZK1700015
"Work This Time";"King Gizzard & The Lizard Wizard";Oddments;AUDJ01401042
"Paper Mâché";"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500145
"Most Of What I Like";"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500144
"Time = Fate";"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500142
"Time = $$$";"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500143
"The Bitter Boogie";"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500140
"N.G.R.I (Bloodstain)";"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500141
Trapdoor;"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500138
"Cold Cadaver";"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500139
"Paper Mâché Dream Balloon";"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500137
Dirt;"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500136
Bone;"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500135
Sense;"King Gizzard & The Lizard Wizard";"Paper Mâché Dream Balloon";USATO1500134
Acarine;"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800042
Cyboogie;"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800043
"Real's Not Real";"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800040
"This Thing";"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800041
"The Cruel Millennial";"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800039
"The Bird Song";"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800037
"Plastic Boogie";"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800038
"Boogieman Sam";"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800036
"Fishing For Fishies";"King Gizzard & The Lizard Wizard";"Fishing For Fishies";AUTZK1800035
"Robot Stop";"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600102
"Big Fig Wasp";"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600103
"Gamma Knife";"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600104
People-Vultures;"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600105
"Mr. Beat";"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600106
"Evil Death Roll";"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600107
"Invisible Face";"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600108
"Road Train";"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600110
"Prettiest Virgin";"Agar Agar";Cardan;FRPIN1600050
"Human Ghidrah";"Black To Comm";"Black To Comm";QMXWW1412001
"Get You (feat. Kali Uchis)";"Daniel Caesar, Kali Uchis";Freudian;TCACR1690004
#3;"Aphex Twin";"Selected Ambient Works Volume II";GBBPW9400034
"LUX (Nicolas Jaar Remix)";"Brian Eno, Nicolas Jaar";"Brian Eno x Nicolas Jaar x Grizzly Bear";GBBPW1300001
Mars;Television;Television;USCA29201181
Babylon;"Oneohtrix Point Never, (Sandy) Alex G";"Love In The Time Of Lexapro";GBBPW1800184
"Happy Face";"The Murlocs";"Young Blindness";AUDJ01401299
Corporeal;Broadcast;"Tender Buttons";GBBPW0500076
"IAO Chant From The Cosmic Inferno";"ACID MOTHERS TEMPLE";"IAO Chant from the Cosmic Inferno";US39Z0503401
20h25;CKC;"Bippp French Synth-Wave (1979-1985)";FR6V80523434
"Pretty Day";"Marie Möör";"Bippp French Synth-Wave (1979-1985)";FR6V80523435
"Secret Enchanted Broccoli Forest";"Babe Rainbow";"Secret Enchanted Broccoli Forest";AUDJ01401086
"Sleep Drifter";"King Gizzard & The Lizard Wizard";"Flying Microtonal Banana";USATO1600685
"Round Here";"Counting Crows";"August And Everything After";USIR10000284
"A Long December";"Counting Crows";"Recovering The Satellites";USGF19697515
"Big Yellow Taxi";"Counting Crows, Vanessa Carlton";"Hard Candy";USIR10211754
"Accidentally In Love";"Counting Crows";"Films About Ghosts: The Best Of...";USIR10400291
"Mr. Jones";"Counting Crows";"August And Everything After";USIR10000287
"Goodbye, Goodbye";µ-Ziq;"Royal Astronomy";GBAAA9900372
"Burst Your Arm";µ-Ziq;"Royal Astronomy";GBAAA9900371
"All Armed";"Nils Frahm";"All Armed";GBWZD1912502
"Wah Wah";"King Gizzard & The Lizard Wizard";"Nonagon Infinity";USATO1600109
"Thank You (Falettinme Be Mice Elf Agin) - single master";"Sly & The Family Stone";"Greatest Hits";USSM19901657
"Cave In";Wand;Golem;USA3D1510005
"Floating Head";Wand;Golem;USA3D1510007
"Aller simple";"Vitor Hublot";"Bippp French Synth-Wave (1979-1985)";FR6V80523438
"You Send Me";"Sam Cooke";"30 Greatest Hits: Portrait of a Legend 1951-1964";USA175720010
Bloom;"Between The Buried And Me";"The Parallax II: Future Sequence";USMBR1209215
Hell;"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900045
Self-Immolate;"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900044
"Venusian 2";"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900043
Perihelion;"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900042
"Venusian 1";"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900041
Superbug;"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900040
"Organ Farmer";"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900039
"Mars For The Rich";"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900038
"Planet B";"King Gizzard & The Lizard Wizard";"Infest The Rats' Nest";AUTZK1900026
"Dragonfly Pie";"Stephen Malkmus & The Jicks";"Real Emotional Trash";USMTD0877201
"Fall Down";Crumb;Jinx;QMB621900204
"Florentine Pogen";"Frank Zappa, The Mothers Of Invention";"One Size Fits All";USZPE1200188
Sleeper;"Ty Segall";Sleeper;US58L1356501
"Catholic Glass";"Surf Harp";"Mr. Big Picture";QMDA61827935
"D.I. Cig";"Surf Harp";"Mr. Big Picture";QMDA61827929
"Dilapidated Buildings";"Soul Cannon";Kaboom;QM2PV1747701
"Wham City";"Dan Deacon";"Spiderman Of The Rings / Ultimate Reality (Deluxe 10th Anniversary Edition)";US22N0503703
"Sittin in a Teashop";"Daevid Allen, Euterpe";"Bananamoon Obscura No.1: Studio Rehearsal Tapes 1977";USV351369501
"Magick Brother";"Daevid Allen, Euterpe";"Bananamoon Obscura No.1: Studio Rehearsal Tapes 1977";USV351369500
Flood;TOOL;Undertow;USVR10000017
Rottweiler;IDLES;"Joy as an Act of Resistance.";USBQU1800049
"Cry To Me";IDLES;"Joy as an Act of Resistance.";USBQU1800061
"Gram Rock";IDLES;"Joy as an Act of Resistance.";USBQU1800050
Television;IDLES;"Joy as an Act of Resistance.";USBQU1800057
Great;IDLES;"Joy as an Act of Resistance.";USBQU1800059
"Love Song";IDLES;"Joy as an Act of Resistance.";USBQU1800054
June;IDLES;"Joy as an Act of Resistance.";USBQU1800051
"I'm Scum";IDLES;"Joy as an Act of Resistance.";USBQU1800053
Colossus;IDLES;"Joy as an Act of Resistance.";USBQU1800052
"Never Fight A Man With A Perm";IDLES;"Joy as an Act of Resistance.";USBQU1800062
KK;Excepter;KKKKK;US22N0491301
"Queen Lullabye";"Ty Segall";Sleeper;US58L1356509
Fine;"Ty Segall";"Goodbye Bread";US58L1147910
"I Am With You";"Ty Segall";"Goodbye Bread";US58L1147909
"Where Your Head Goes";"Ty Segall";"Goodbye Bread";US58L1147908
"The Floor";"Ty Segall";"Goodbye Bread";US58L1147907
"My Head Explodes";"Ty Segall";"Goodbye Bread";US58L1147906
"You Make The Sun Fry";"Ty Segall";"Goodbye Bread";US58L1147904
"I Can't Feel It";"Ty Segall";"Goodbye Bread";US58L1147905
"California Commercial";"Ty Segall";"Goodbye Bread";US58L1147902
"The Black Meat";"Bark Psychosis";"Codename: Dustsucker";GBCKK0300272
Fingerspit;"Bark Psychosis";Hex;GBAAA9401048
"Eyes And Smiles";"Bark Psychosis";Hex;GBAAA9401051
"Pendulum Man";"Bark Psychosis";Hex;GBAAA9401049
"Inside Looking Out";"Mark Hollis";"Mark Hollis";GBAKW9700230
"Comfortable Home (A True Story)";"Ty Segall";"Goodbye Bread";US58L1147903
"The Dream";"Thee Oh Sees";"Carrion Crawler / The Dream";USA3D1110117
"Surreal New Year";"Flat Worms";"Into the Iris";QM4WV1904801
"minipops 67 [120.2][source field mix]";"Aphex Twin";Syro;GBBPW1400088
"XMAS_EVET10 [120][thanaton3 mix]";"Aphex Twin";Syro;GBBPW1400089
"4 bit 9d api+e+6 [126.26]";"Aphex Twin";Syro;GBBPW1400091
"180db_ [130]";"Aphex Twin";Syro;GBBPW1400092
"CIRCLONT6A [141.98][syrobonkus mix]";"Aphex Twin";Syro;GBBPW1400093
"fz pseudotimestretch+e+3 [138.85]";"Aphex Twin";Syro;GBBPW1400094
"CIRCLONT14 [152.97][shrymoming mix]";"Aphex Twin";Syro;GBBPW1400095
"syro u473t8+e [141.98][piezoluminescence mix]";"Aphex Twin";Syro;GBBPW1400096
"PAPAT4 [155][pineal mix]";"Aphex Twin";Syro;GBBPW1400097
"s950tx16wasr10 [163.97][earth portal mix]";"Aphex Twin";Syro;GBBPW1400098
"Guilford Avenue Bridge";"Dan Deacon";America;GBCEL1200213
"True Thrush";"Dan Deacon";America;GBCEL1200214
Lots;"Dan Deacon";America;GBCEL1200215
Prettyboy;"Dan Deacon";America;GBCEL1200216
"Crash Jam";"Dan Deacon";America;GBCEL1200217
"USA I: Is a Monster";"Dan Deacon";America;GBCEL1200218
"USA III: Rail";"Dan Deacon";America;GBCEL1200220
"USA IV: Manifest";"Dan Deacon";America;GBCEL1200221
"USA II: The Great American Desert";"Dan Deacon";America;GBCEL1200219
"Fuzz's Fourth Dream";Fuzz;"This Time I Got a Reason";QMXQJ1204602
"Sketches Of Brunswick East III";"King Gizzard & The Lizard Wizard, Mild High Club";"Sketches Of Brunswick East";AUTZK1700072
"The Book";"King Gizzard & The Lizard Wizard, Mild High Club";"Sketches Of Brunswick East";AUTZK1700068
"Sketches Of Brunswick East II";"King Gizzard & The Lizard Wizard, Mild High Club";"Sketches Of Brunswick East";AUTZK1700066
"Dusk To Dawn On Lygon Street";"King Gizzard & The Lizard Wizard, Mild High Club";"Sketches Of Brunswick East";AUTZK1700067
"The Spider And Me";"King Gizzard & The Lizard Wizard, Mild High Club";"Sketches Of Brunswick East";AUTZK1700065
Tezeta;"King Gizzard & The Lizard Wizard, Mild High Club";"Sketches Of Brunswick East";AUTZK1700063
"Cranes, Planes, And Migraines";"King Gizzard & The Lizard Wizard, Mild High Club";"Sketches Of Brunswick East";AUTZK1700064
